#Note: new numbering still has to be added!. Also search for NUMBER. 
#&=retelling of the same story

pi-tv-bu-vb-intro,~an8.11,pi-tv-bu-vb-pj1#3-#39
mn35#5,~sn22.15,~kv23.5#19,~kv2.8#216,~kv1.1#367
an1.11-20#17.1,pe3#27
ja95,dn17#59,dn16#240,sn15.20#8,sn6.15#6,thag20.1#1169,&cp4,tha-ap21#4,tha-ap429#13,tha-ap341#13
sn1.21#2,thag1.39#39,sn2.16#2,thag1.40#40,pe2#104,ne37#181,thag20.1#1172
sn21.4#5-#6,thag20.1#1175-#1176,ne37#254-#255
dn16#242-#243,sn6.15#10-#11,thag16.9#905-#906
dn16#257-#258,pi-tv-kd21#2-#4
~an4.180,~dn16#165-#170,pi-tv-kd6#170-#173
dn16#56-#84,pi-tv-kd6#95-#114,~ud8.6,~kv5.8#55,~ne37#367-#369,~dn33#183-#184,~an5.213
dn16#99-#103,pi-tv-kd6#116-#118
an5.213,dn33#183-#184,pi-tv-kd6#97-#98,ud8.6#4-#13
dn17#44,sn22.96#3
dn2#101,ps1.1#505,ps3.2#7
dn2#112,~kv3.4#80-#81,~kv13.5#27
dn2#18-#20,snp3.6#2-#5
dn2#28,mn76#12,sn24.8#1
dn2#79-#88,mn39#12-#18
dn2#89,pe6#60
dn21#65-#69,ne37#503-#507
dn21#76-#80,sn22.4
dn22#15,mn10#13,ne17#366,vb7#2
dn22#132,kv1.9#774,mn10#131,sn47.1#2
dn22#81,mn10#80,mn9#11
dn22#82-#127,ps1.1#180-#202,vb4#2-#51,~mn9#11,~mnd6#39
dn22#95,~kv13.10#61,~kv13.9#53,~pi-tv-kd1#72
dn23#19,~mil5.4.5#3
dn29#46,iti112#3-#6
dn30#125,~mil5.2.8#1
dn30#131,~kv12.3#21
dn30#3,~kv4.7#103
dn30#93-#94,mil7.6.7#3-#4
dn30#97,~mil5.5.5#1
dn33#212-#213,~pi-tv-pvr7#81
dn33#242-#243,pi-tv-pvr7#105-#106
dn33#328,mn108#9
~dn33#51,dn34#29,kv18.7#57,kv9.7#54
dn33#74,pe2#37
dn33#93,pi-tv-bu-vb-pj1#88
dn34#17-#19,pe6#27
dn4#17-#45,dn5#22-#50,~mn95#4-#22
dn8#1-#2,sn42.12#1
an3.156-162#2,an4.198#2,dn25#11,dn8#15,mn12#42,mn45#5,mn51#9,mnd15#68,pp2.4#110,~mn60#24
ds2.1.1#18,mnd8#76
~ds2.1.1#31,~ds2.2.3#181,mnd2#63-#77,mnd6#3-#17
ds2.1.1#32,mnd2#82
ds2.1.6#401,mnd5#48
ds2.3.1#24,pe6#50
ds2.3.2#164,~mnd3#55
ds2.3.2#170,mnd2#48,vb17#77
ds2.3.2#184,mnd4#61
ds2.3.2#83,mnd1#28,mnd2#22
ds2.3.2#85,ne17#360
ds2.3.2#95,ne17#361
ds2.3.3#370,mnd6#42
mnd10#87,mnd14#107
mn2#2,sn12.23#1,iti102#2,kv2.3#97,kv2.2#72,sn22.101#1,sn56.25#1
iti20#3-#4,ne37#30-#31
an1.41-50#43.1,iti20#2,ne37#29
iti21#3-#4,ne37#110-#111
an1.41-50#44.1,iti21#2,ne37#109
an7.62#1-#2,iti22#2-#3,~ne37#464
iti60#3-#4,iti22#5-#6
sn15.10,iti24,~kv1.1#181
iti41#4,ne37#360,pe2#130,pe3#33
sn3.2#3,cnd23#113,mnd1#65,mnd16#108,iti50#3,mnd14#87
iti53#3,sn36.5#2,thag17.2#986
iti61#3-#4,kv3.7#128-#129,~mil5.1.5
iti62#2,~pe3#35
an3.85#3-#4,iti102#3-#4,iti62#3-#4
sn35.26#1,iti7#2,kv2.2#74
ja545#102-#107,iti76#5-#9,ja503#22-#27
sn14.16#9-#10,iti78#6-#7
sn14.16#11,iti78#8,thag2.14#148,thag3.16#264,mil7.7.4#6
thag2.14#147,thag3.16#265
sn14.15#3-#5,iti78#2-#5
sn17.10#3-#4,iti81#9-#10,thag17.2#1011-#1012
~iti83#12-#18,tha-ap189#1-#11,tha-ap329#4-#12
an1.219-234#8,~mil5.5.3#1
iti49,ps1.2#110-114
iti89,pi-tv-kd17#94-#101,~pi-tv-pvr7#33
an3.69#1,ne37#479,sn45.1#2,~pi-tv-pvr7#33
an3.69#9,ne37#471,sn45.1#3,~pi-tv-pvr7#33
ja100,ud2.8#18
ja136,pi-tv-bi-vb-pc1#5
ja167,sn1.20#2-#3
ja197#1,ja473#2
ja197#2,ja473#6
ja222#2,ja353#2,pe2#83
ja223,ja333#2-#3
ja224#1,ja57
ja224,&cp27,~ja57
ja243,vv33#1-#2
ja253#1-#2,pi-tv-bu-vb-ss6#9-#10
ja253#3,pi-tv-bu-vb-ss6#12
ja28,pi-tv-bu-vb-pc2#4
ja307#1,mil5.3.5#2
ja475#7,mil5.3.5#4
ja309,~pi-tv-bu-vb-sk69#4-#7
ja310,ja433#2-#5,~mil5.5.5#4
ja314,ne37#457-#458,pv50
ja329#2,mnd15#47
ja464,ja536#64-#75
ja341,ja536#60-#63
ja536#86,ja61
ja536#59,mil5.4.8#2
ja348,ja435#2-#6
ja351#1-#3,mnd15#161-#163,mnd6#40-#41
ja352#5-#7,ja372#5-#7,ja410#7-#9,pv8#5-#7,vv83#8-#10,ja449#8-#10,pv17#8-#10
ja37,pi-tv-kd16#85
ja377#3-#6,ja487#1-#4
ja403#1-#2,pi-tv-bu-vb-ss6#17-#18
ja424#3,sn1.33#10
mn128#3-#13,ja428,pi-tv-kd10#35-#46,~ja371#4-#6
mn128#1,pi-tv-kd10#14
ja440#13,mil7.4.2#6
thag4.10#303,ja447#11,ja510#23,ne4#21,ne9#142,ne10#200,pe2#59
thag4.10#304,ja510#24,ne37#462
ja510,&cp23,~pe1#36
~ja449,pv17,vv83
ja450#2-#4,sn1.32#2-#5
ja451#9,~mil5.3.11#1
ja521#20,~mil5.3.11#1
ja452#7,ja493#17,ja528#30,ja538#10,ja546#233,pv21#3
ja546#153,mil7.2.8#2
ja454#1-#10,pv18#1-#10
pv18#11-#15,vv63#13-#18
ja458#13-#14,ne37#498-#499,sn1.75
ja470,ja535#1-#21
ja477#13,mil7.6.4#2
ja483#1,ja51,ja539#14
ja489#14,thig2.7#1-#2,vv15#6-#7
ja502#1-#4,ja534#1-#4
ja504#8,mil7.6.9#4
mn81#4,~mil5.5.6#4
ja514#25,mil5.5.6#2
an11.15#1,an8.1#1,mil5.4.6#1,pi-tv-pvr7#144,ps2.4#1
sn1.72#2,ja547#189,cnd22#54
ja547#682,mil6.3.1#33
mn19#11,kv1.1#244
mn115#9,kv1.1#342
sn12.15#2,kv1.1#368
sn5.10#4-#6,mnd15#178-#180,kv1.1#370-#372,~mil3.1.1#8
mn22#31-#35,kv1.1#375
kv1.1#376-#381,pp2.3#54-#55
sn12.64#2-#5,ne14#248-#251,~mnd2#8,kv1.6#720-#722
thag3.13#256-#257,sn6.14#6-#7,kv2.5#187-#188,~pe3#62,~mil6.1.4#2,~ne10#186
sn6.14#4,ps3.2#15
pi-tv-kd1#18-#19,kv2.8#222-#223,ud2.1#5-#6,pe2#123-#124
sn41.5#3,ud7.5#6,pe2#119
mn92#17-#46,snp3.7#554-#579,~pe2#127,thag16.6#818-#837,~pi-tv-kd6#160-#161
mn92#39-#40,pi-tv-kd6#160-#161,snp3.7#574-#575
iti100#2,mil5.5.3#1,mil5.5.8#1,~mil5.3.10#2,~mn92#23,~snp3.7#560
mil5.3.10#2,~mil5.5.8#1,mn92#23,snp3.7#560
tha-ap16,~mil5.3.3#1
pi-tv-kd1#6,ne37#167,kv2.3#103,ud1.1#4
pi-tv-kd1#9,ne37#169,kv2.3#104,ud1.2#4
pi-tv-kd1#12,ne37#245,kv2.3#105,ud1.3#5
ud5.7#4,tha-ap544#15,kv2.3#106
sn12.1#2-#3,pi-tv-kd1#3-#4
pi-tv-kd1#2,ud1.1#1
ud1.5#4,ne37#234
ud1.9#4,ne37#243
ud4.4#4,~mil5.1.1#1
ud4.4#10,ne37#228,pe2#13,thag2.36#191
pi-tv-kd1#15,ud1.4#4,ne37#232
pi-tv-kd1#14,ud1.4#1-#3
ud1.10#14-#15,tha-ap538#41-#43,ne37#236-#237
thag16.4#786,ne37#16,ne9#144,mn82#47
ud7.4#4,pe2#3,ne37#5,ne9#169
ud7.1#5,ne37#163,ne15#277,pe2#10,pe8#83
ne9#171,ne5#63
sn4.11#3,ne9#157
sn4.6#6,ne9#158
ud7.7#3,ne9#173
thag17.2#997,kv3.9#152
sn22.48#1,kv1.6#712
sn35.83#2,kv1.6#717
sn46.42,kv1.9#775-#776
mn14#18,kv11.6#29
mn33#6,kv12.1#7
sn10.1#3-#4,kv14.2#17-#18
mn73#3,kv14.8#62
mn57#2,kv14.8#63
sn44.7#2,kv14.8#64
mn57#9,kv15.11#70
mn66#1,kv16.3#13
mn98#66,kv17.3#17,snp3.9#660
mn98#65,snp3.9#659,ud3.10#8,ne37#295,pe2#25
ud3.10#9,ne37#297,pe2#26
mn98#67,snp3.9#661,thag12.2#631
sn22.1,kv17.4#24
pi-tv-kd6#158,kv17.8#48,mnd14#120
mn142#1,kv17.9#53,mil6.1.2#1
mn3#6,mil6.1.2#7
sn2.30#16-#17,mil6.1.2#9-#10
sn11.16#2-#3,kv17.9#55-#57,vv34#20-#23,vv44#22-#23
vv34#24-#26,vv44#24-#26,kv17.9#58-#60
mil3.7.3#2,kv19.1#2
mn106#6,kv19.2#13
sn12.61#4,kv2.7#199
sn35.28,sn22.61,pi-tv-kd1#198,kv2.8#212
sn36.20#2,mn13#4,kv2.8#213
sn35.135,ne37#454-#456,kv2.8#214-#215,~pe2#113
sn11.10#5,ne37#481
sn56.30#2,kv2.9#252
mn149#8,kv20.5#42
sn56.11,pi-tv-kd1#68-#84,~ps2.7,~kv20.6#46,~kv20.6#46,~ne14#261-#265,~ne4#41-#43,~ps2.6
pi-tv-bu-vb-np23,pi-tv-kd6#43-#49,~kv21.4#14
mn28#20,kv22.8#34-#35
sn48.18,kv3.6#113
mn71#7,kv4.1#4
kv17.10#66,vv64#33
dn16#231,~mil5.1.1#12,~mil5.2.1,~pi-tv-kd21#27-#33
pi-tv-kd21#27-#33,mil5.2.1,an3.125#2,kv18.2#9,mnd11#61
sn12.20#2,kv6.2#3
sn56.20,kv6.3#13,ps2.2#1
mn148,sn35.60,~mn38#5-#6,~kv6.7#38,~mnd11#86,~mn18#10-#12
sn1.47#2-#3,kv7.5#42-#43
mn148#1,ne4#1
kp7,pv5,~kv7.6#53-#54
kp8#9,kv7.7#71
mn12#34,kv8.1#1
snp1.9#173,sn1.30#2,kv8.3#23
mn136#5,kv8.9#106
mn1#25,kv9.2#18
snp1.10,sn10.12
snp1.10#186,sn10.12#5,~mil3.1.10,~mil3.1.11#3
snp1.10#194,sn10.12#13,tha-ap8#153,tha-ap420#17
snp1.10#188-#189,sn10.12#7-#8,ne37#190-#191
sn46.53#15,mil3.1.13#4
sn7.6#2-#5,sn1.23
sn7.6#3,sn1.23#2,pe2#69,mil3.1.9#6
thag11.1#606-#607,thag14.1#654-#655,mil3.2.4#3-#4,~thag2.38#196
sn2.22#5-#7,mil3.4.5#5-#7
pi-tv-bu-vb-pj1#138,mil5.2.6#1,mil3.7.8#1
pi-tv-bu-vb-pj1#178,mil5.2.6#1
pi-tv-kd17#53,mil5.1.8#2,mil5.3.8#1
sn36.21#2-#3,mil5.1.8#12-#13
sn4.18#1,mil5.2.5#1
ud4.8,~ud2.4,~mil5.2.5#1
mn67#1,ud3.3#1-#4,~mil5.3.12#1
snp1.2#19,~mil5.3.12#1
snp1.2#29,mil7.2.4#2
snp1.2#33-#34,sn4.8#2-#3,sn1.12#2-#3,ne9#153-#155,pe2#165-#166
snp1.12#209,mil5.5.1#2,mil7.4.4#6
pi-tv-kd16#98,mil5.5.1#3
mn40#9,mil5.3.9#1
mn67#4,~mil5.4.10#1
pi-tv-kd2#65,~mil5.4.2#1
an3.131#1-#2,~mil5.4.2#1,pi-tv-pvr7#26
an4.50#1,pi-tv-kd22#5-#10
sn42.10,pi-tv-kd22#12-#13
pi-tv-kd9,~pi-tv-kd22#57
pi-tv-kd12#112,~pi-tv-kd9#33
pi-tv-kd12#28,~pi-tv-kd9#33
pi-tv-kd12#53,~pi-tv-kd9#33
pi-tv-kd12#73,~pi-tv-kd9#33
pi-tv-kd12#96,~pi-tv-kd9#33
pi-tv-bu-vb-pc89,~pi-tv-kd22#65
pi-tv-bu-vb-np18,~pi-tv-kd22#15,~pi-tv-kd22#67
pi-tv-bu-vb-pc51,~pi-tv-kd22#63
pi-tv-bu-vb-pc37,~pi-tv-kd22#51
pi-tv-bu-vb-pc38,~pi-tv-kd22#49
pi-tv-bu-vb-pc35,~pi-tv-kd22#53,~pi-tv-kd22#61
pi-tv-bu-vb-pc35#10-#12,~pi-tv-pvr17#63-#65
sn56.47#2,~mil5.4.7#26
mn77#16,mil5.5.2#1
sn12.65#7,~mil5.5.4#1
mn81#12,~mil5.5.7#1
cnd7#159,sn7.9#14
ja403#6,mil5.5.9#11
snp3.4#485-#486,snp1.4#81-#82,sn7.11#9-#10,sn7.8#8-#9,sn7.9#7-#8,~mil5.5.9#2
snp1.4#76-#80,sn7.11#3-#7
snp3.4#467-#468,sn7.9#3-#4
mn142#19,mil6.1.8#9
mn75.1,mil6.3.9#2
thag17.2#985,mil7.2.1#2
sn1.17#3,sn35.240#3,mil7.2.6#7
thag10.6#577,mil7.2.6#5
sn1.17#1,ne37#47
sn47.2#2,mil7.3.7#1
sn56.7#2,mil7.3.5#4
sn56.7#1,mil7.3.8#4
mn62#9,~mil7.4.3#6
tha-ap23#5-#7,mil7.4.5#6-#8
mn62#11,~mil7.4.6#6
sn16.3#1,~mil7.4.7#5
thag18.1#1058-#1060,mil7.5.6#2-#4
thag17.2#987,mil7.5.7#6
mn12#49,~mil7.5.7#3
sn16.1#2,mil7.6.1#8
thag17.2#982-#983,mil7.6.10#2-#3
thag2.11#142,sn6.13#2,mil7.6.3#3
sn56.21#4-#5,dn16#83-#84,pi-tv-kd6#113-#114,ne37#368-#369
sn56.2#1,mil7.6.5#1
snp2.6#286,mil7.7.7#4
snp2.4,kp5
snp3.11#720,kv1.2#499
snp3.11#721,cnd17#638
snp3.11#727,mil7.8.1#2
cnd11#456,cnd11#468,~cnd5#58,mil7.8.7#3,mnd2#105,ps3.9#11
pi-tv-bu-vb-np15#2,~mil6.4.2#57
an7.58#2-#3,dn33#76,mil5.3.4#1
pi-tv-bu-vb-pj1#103,mnd7#26,mnd7#14,~pi-tv-bu-vb-pj1#69
mn86#25-#40,thag16.8#871-#886,~pi-tv-kd17#65
an1.616-627#616.1,kv1.9#773,mil6.1.1#20
an1.268-277#277.1,dn28#37,mil6.1.1#1,mn115#14,ne21#415,vb16#355
dn14#138-#139,mn85#37-#38,mn26#35-#36,sn6.1#2-#3,pi-tv-kd1#26-#27
dn14#152,mn26#42,mn85#45,sn6.1#10,pi-tv-kd1#50
dn14#149-#150,mn85#42-#43,mn26#39-#40,iti38#8,pi-tv-kd1#31-#32,sn6.1#7-#8,mnd14#66,~mnd16#32,~cnd19#748
mn85#56,mn26#53,pi-tv-kd1#62,kv4.8#125,ne37#441
mn85#41,mn26#38,pi-tv-kd1#30,sn6.1#6
mn26#49-#51,mn85#52-#54,pi-tv-kd1#58-#60,kv4.8#121-#123,~mil5.5.11#2
mn100#8-#31,~mn85,mn26#16-#25,mn36#2-#34,~mil5.5.11#3,~mn20,~mn4#18-#21
mn20#6,~mn85#22
mn26#44-#61,mn85#47-#63,pi-tv-kd1#53-#68
dn14#136-#153,sn6.1,~cnd19#747-#748,mn26#34-#43,mn85#36-#46,~mnd14#65,~pi-tv-kd1#25-#51,~kv19.8#61,~mil5.5.10#1,~mnd16#31-#32
mn4#16,mnd14#116
mn104#12,pi-tv-kd14#191
mn118#8-#13,mn62#13-#19,pi-tv-bu-vb-pj3#10-#14,sn54.1
mn122#3,mn139#26
mn129#24,ne37#451
mn129#5,ne37#450
mn131#2-#5,mn132#4-#7,mn133#5-#8,mn134#2-#5,ne37#216-#219,tha-ap550#20-#23
mn131#6,mnd10#11
mn133#29,~mnd10#13
mn131#8,mnd10#31,mnd10#13,mnd9#81
mn135#3,mil3.4.4#2
mn135,~mn99
mn136#19,ne9#176
mn138#18,sn22.7#2
mn140#33,mnd6#89,sn35.248#3
snp4.6#820,mnd6#85
sn35.87#11,ud8.4#3,pe5#76,pe1#135,ne15#289
mn152#11,ps3.2#19
mn21#23,mn28#18,mn28#9
mn22#14,pi-tv-bu-vb-pc68#4,cnd23#250,pi-tv-kd11#302
mn22#1-#10,pi-tv-bu-vb-pc68#1-#4,pi-tv-kd11#297-#302
mn22#28,mnd6#33
mn31,~pi-tv-kd10#48-#52
mn54#17,mnd1#23,mnd1#76
mn54#24,sn35.244#3
snp4.1#773,ja467#1,mnd1#2,ne15#315,ne4#3,pe2#75,mnd1#12
snp4.1#774,mnd1#13,ne4#6,mnd1#21,ne15#316
snp4.1#775,mnd1#22,mnd1#36,ne4#9,ne15#317,ne15#324,pe2#80
snp4.1#776,mnd1#37,mnd1#45,ne4#12
snp4.1#777,mnd1#46,mnd1#73,ne4#15
snp4.1#778,mnd1#74,mnd1#84,ne4#18
mnd1#38,mnd10#122
ud8.8#7-#8,ne15#302-#303,~pe1#118
mn72#24-#28,sn44.1#6-#9
mn74#6,mnd11#124,mnd12#113
mn78#4,mnd13#25,mnd4#22
mn82#17-#22,thag16.4#769-#774
mn82#37-#49,thag16.4#776-#788
mn87#5-#9,mnd15#71-#75
snp4.10#855,mnd10#2,mnd10#7
snp4.10#856,mnd10#8,mnd10#15
snp4.10#857,mnd10#16,mnd10#29
snp4.10#858,mnd10#30,mnd10#38
snp4.10#859,mnd10#39,mnd10#65
snp4.10#860,mnd10#66,mnd10#78
snp4.10#861,mnd10#79,mnd10#90
snp4.10#862,mnd10#91,mnd10#107
snp4.10#863,mnd10#108,mnd10#113
snp4.10#864,mnd10#114,mnd10#120
snp4.10#865,mnd10#121,mnd10#125
snp4.10#866,mnd10#126,mnd10#131
snp4.10#867,mnd10#132,mnd10#137
snp4.10#868,mnd10#138,mnd10#144
mnd10#21,mnd14#183
sn48.44,mnd10#72-#74
snp4.11#869,mnd11#2,mnd11#9
snp4.11#870,mnd11#10,mnd11#17
snp4.11#871,mnd11#18,mnd11#23
snp4.11#872,mnd11#24,mnd11#32
snp4.11#873,mnd11#33,mnd11#39
snp4.11#874,mnd11#40,mnd11#47
snp4.11#875,mnd11#48,mnd11#63
snp4.11#876,mnd11#64,mnd11#70
snp4.11#877,mnd11#71,mnd11#77
snp4.11#878,mnd11#78,mnd11#84
snp4.11#879,mnd11#85,mnd11#95
snp4.11#880,mnd11#96,mnd11#102
snp4.11#881,mnd11#103,mnd11#109
snp4.11#882,mnd11#110,mnd11#116
snp4.11#883,mnd11#117,mnd11#121
snp4.11#884,mnd11#122,mnd11#127
snp4.12#885,mnd12#2,mnd12#8
snp4.12#886,mnd12#9,mnd12#15
snp4.12#887,mnd12#16,mnd12#22
snp4.12#888,mnd12#23,mnd12#29
snp4.12#889,mnd12#30,mnd12#36
snp4.12#890,mnd12#37,mnd12#43
snp4.12#891,mnd12#44,mnd12#50
snp4.12#892,mnd12#51,mnd12#57
snp4.12#893,mnd12#58,mnd12#63
snp4.12#894,mnd12#64,mnd12#69
snp4.12#895,mnd12#70,mnd12#76
snp4.12#896,mnd12#77,mnd12#83
snp4.12#897,mnd12#84,mnd12#89
snp4.12#898,mnd12#90,mnd12#95
snp4.12#899,mnd12#96,mnd12#102
snp4.12#900,mnd12#103,mnd12#108
snp4.12#901,mnd12#109,mnd12#115
snp4.13#902,mnd13#2,mnd13#8
snp4.13#903,mnd13#9,mnd13#15
snp4.13#904,mnd13#16,mnd13#22
snp4.13#905,mnd13#23,mnd13#30
snp4.13#906,mnd13#31,mnd13#37
snp4.13#907,mnd13#38,mnd13#44
snp4.13#908,mnd13#45,mnd13#51
snp4.13#909,mnd13#52,mnd13#58
snp4.13#910,mnd13#59,mnd13#65
snp4.13#911,mnd13#66,mnd13#72
snp4.13#912,mnd13#73,mnd13#79
snp4.13#913,mnd13#80,mnd13#86
snp4.13#914,mnd13#87,mnd13#93
snp4.13#915,mnd13#94,mnd13#101
snp4.13#916,mnd13#102,mnd13#108
snp4.13#917,mnd13#109,mnd13#115
snp4.13#918,mnd13#116,mnd13#122
snp4.13#919,mnd13#123,mnd13#129
snp4.13#920,mnd13#130,mnd13#138
snp4.13#921,mnd13#139,mnd13#159
snp4.14#922,mnd14#2,mnd14#16
snp4.14#923,mnd14#17,mnd14#28
snp4.14#924,mnd14#29,mnd14#34
snp4.14#925,mnd14#35,mnd14#41
snp4.14#926,mnd14#42,mnd14#48
snp4.14#927,mnd14#49,mnd14#55
snp4.14#928,mnd14#56,mnd14#96
snp4.14#929,mnd14#97,mnd14#111
snp4.14#930,mnd14#112,mnd14#118
snp4.14#931,mnd14#119,mnd14#124
snp4.14#932,mnd14#125,mnd14#137
snp4.14#933,mnd14#138,mnd14#149
snp4.14#934,mnd14#150,mnd14#161
snp4.14#935,mnd14#162,mnd14#168
snp4.14#936,mnd14#169,mnd14#181
snp4.14#937,mnd14#182,mnd14#200
snp4.14#938,mnd14#201,mnd14#207
snp4.14#939,mnd14#208,mnd14#213
snp4.14#940,mnd14#214,mnd14#220
snp4.14#941,mnd14#221,mnd14#227
mnd14#98-#101,mnd16#232-#235
dn1#37,mnd14#101,mnd16#126,cnd23#262
snp4.15#942,mnd15#2,mnd15#29
snp4.15#943,mnd15#30,mnd15#36
snp4.15#944,mnd15#37,mnd15#50
snp4.15#945,mnd15#51,mnd15#57
snp4.15#946,mnd15#58,mnd15#80
snp4.15#947,mnd15#81,mnd15#87
snp4.15#948,mnd15#88,mnd15#93
snp4.15#949,mnd15#94,mnd15#103
snp4.15#950,mnd15#104,mnd15#113
snp4.15#951,mnd15#114,mnd15#120
snp4.15#952,mnd15#121,mnd15#127
snp4.15#953,mnd15#128,mnd15#134
snp4.15#954,mnd15#135,mnd15#141
snp4.15#955,mnd15#142,mnd15#147
snp4.15#956,mnd15#148,mnd15#154
snp4.15#957,mnd15#155,mnd15#167
snp4.15#958,mnd15#168,mnd15#187
snp4.15#959,mnd15#188,mnd15#193
snp4.15#960,mnd15#194,mnd15#200
snp4.15#961,mnd15#201,mnd15#206
sn1.1#2,sn2.18#6,mnd15#165
mnd15#31,mnd16#77
sn6.6#6,mnd15#42
sn5.7#4,mnd15#44
mnd15#53,mnd16#200,vb17#36
snp4.16#962,mnd16#2,mnd16#13
snp4.16#963,mnd16#14,mnd16#53
snp4.16#964,mnd16#54,mnd16#75
snp4.16#965,mnd16#76,mnd16#81
snp4.16#966,mnd16#82,mnd16#87
snp4.16#967,mnd16#88,mnd16#119
snp4.16#968,mnd16#120,mnd16#139
snp4.16#969,mnd16#140,mnd16#148
snp4.16#970,mnd16#149,mnd16#157
snp4.16#971,mnd16#158,mnd16#168
snp4.16#972,mnd16#169,mnd16#173
snp4.16#973,mnd16#174,mnd16#180
snp4.16#974,mnd16#181,mnd16#187
snp4.16#975,mnd16#188,mnd16#193
snp4.16#976,mnd16#194,mnd16#203
snp4.16#977,mnd16#204,mnd16#213
snp4.16#978,mnd16#214,mnd16#230
snp4.16#979,mnd16#231,mnd16#251
snp4.16#980,mnd16#252,mnd16#262
snp4.16#981,mnd16#263,mnd16#272
snp4.16#982,mnd16#273,mnd16#289
sn47.7#3,mnd16#127
sn47.7#4,mnd16#132
sn3.11,ud6.2
sn3.11#10.mnd16#17
mnd16#195,ps3.1#31
snp4.2#779,mnd2#2,mnd2#20
snp4.2#780,mnd2#21,mnd2#43
snp4.2#781,mnd2#44,mnd2#53,pe1#52
snp4.2#782,mnd2#54,mnd2#84
snp4.2#783,mnd2#85,mnd2#92
snp4.2#784,mnd2#93,mnd2#100,pe1#46
snp4.2#785,mnd2#101,mnd2#109
snp4.2#786,mnd2#110,mnd2#130
mnd7#10,mnd2#13
mnd7#70,mnd2#11,mnd7#8
sn23.2#2,ne14#256
sn23.2#1,mnd2#4
sn35.114#1,mnd2#6
sn4.9#2,mnd6#17,mnd2#79
mnd2#80-#81,mnd6#18-#19,~sn4.10#5
mnd6#14-#17,mnd2#74-#77
snp4.3#787,mnd3#2,mnd3#8
snp4.3#788,mnd3#9,mnd3#15
snp4.3#789,mnd3#16,mnd3#25
snp4.3#790,mnd3#26,mnd3#34
snp4.3#791,mnd3#35,mnd3#41
snp4.3#792,mnd3#42,mnd3#48
snp4.3#793,mnd3#49,mnd3#58
snp4.3#794,mnd3#59,mnd3#65
mnd3#54,vb17#78
snp4.4#795,mnd4#2,mnd4#8
snp4.4#796,mnd4#9,mnd4#15
snp4.4#797,mnd4#16,mnd4#29
snp4.4#798,mnd4#30,mnd4#36
snp4.4#799,mnd4#37,mnd4#45
snp4.4#800,mnd4#46,mnd4#57
snp4.4#801,mnd4#58,mnd4#64
snp4.4#802,mnd4#65,mnd4#71
snp4.5#803,mnd5#2,mnd5#8
snp4.5#804,mnd5#9,mnd5#14
snp4.5#805,mnd5#15,mnd5#20
snp4.5#806,mnd5#21,mnd5#26
snp4.5#807,mnd5#27,mnd5#33
snp4.5#808,mnd5#34,mnd5#40
snp4.5#809,mnd5#41,mnd5#46
snp4.5#810,mnd5#47,mnd5#59
snp4.6#811,mnd6#2,mnd6#30,pe1#74
snp4.6#812,mnd6#31,mnd6#37
snp4.6#813,mnd6#38,mnd6#49
snp4.6#814,mnd6#50,mnd6#55,pe1#67
snp4.6#815,mnd6#56,mnd6#61
snp4.6#816,mnd6#62,mnd6#66
snp4.6#817,mnd6#67,mnd6#72
snp4.6#818,mnd6#73,mnd6#79
snp4.6#819,mnd6#80,mnd6#84
snp4.6#820,mnd6#85,mnd6#93
snp3.8#583-#587,mnd6#23-#27
snp4.7#821,mnd7#2,mnd7#12
snp4.7#822,mnd7#13,mnd7#22
snp4.7#823,mnd7#23,mnd7#30
snp4.7#824,mnd7#31,mnd7#39
snp4.7#825,mnd7#40,mnd7#44,pe1#58
snp4.7#826,mnd7#45,mnd7#51
snp4.7#827,mnd7#52,mnd7#61
snp4.7#828,mnd7#62,mnd7#68
snp4.7#829,mnd7#69,mnd7#75
snp4.7#830,mnd7#76,mnd7#81
snp4.8#831,mnd8#2,mnd8#8
snp4.8#832,mnd8#9,mnd8#15
snp4.8#833,mnd8#16,mnd8#22
snp4.8#834,mnd8#23,mnd8#29
snp4.8#835,mnd8#30,mnd8#36
snp4.8#836,mnd8#37,mnd8#43
snp4.8#837,mnd8#44,mnd8#50
snp4.8#838,mnd8#51,mnd8#57
snp4.8#839,mnd8#58,mnd8#63
snp4.8#840,mnd8#64,mnd8#73
snp4.8#841,mnd8#74,mnd8#85
snp4.9#842,mnd9#2,mnd9#6
snp4.9#843,mnd9#7
snp4.9#844,mnd9#8,mnd9#20
snp4.9#845,mnd9#21,mnd9#27
snp4.9#846,mnd9#28,mnd9#39
snp4.9#847,mnd9#40,mnd9#48
snp4.9#848,mnd9#49,mnd9#56
snp4.9#849,mnd9#57,mnd9#61
snp4.9#850,mnd9#62,mnd9#68
snp4.9#851,mnd9#69,mnd9#88,sn22.3#2
snp4.9#852,mnd9#89,mnd9#101
snp4.9#853,mnd9#102,mnd9#110
snp4.9#854,mnd9#111,mnd9#117
ne1#4,pe1#10
pe1#14-#15,ne2#3-#4
sn42.6,ne10#202-#208
ud4.2#5,ne10#209,ne22#446,ne35#490
pe1#129,ne13#229,ne6#115
sn43.44#2-#3,ne13#236-#237
sn4.20#4,sn4.21#4,pe1#121,ne14#269
ud7.10#5,ne14#271
ud8.3#3,ne14#273
ne19#390,ne3#17
ne2#15,ne37#531
ne2#8-#9,pe1#19-#20
pe9#62,ne3#22
