DN 1,6D/1
SN 47.15,14S5/3/3.2/3.2.5
SN 47.16,14S5/3/3.2/3.2.6
SN 47.17,14S5/3/3.2/3.2.7
SN 47.18,14S5/3/3.2/3.2.8
SN 47.19,14S5/3/3.2/3.2.9
SN 47.20,14S5/3/3.2/3.2.10
SN 47.21,14S5/3/3.3/3.3.1
SN 47.22,14S5/3/3.3/3.3.2
SN 47.23,14S5/3/3.3/3.3.3
SN 47.24,14S5/3/3.3/3.3.4
SN 47.25,14S5/3/3.3/3.3.5
SN 47.26,14S5/3/3.3/3.3.6
SN 47.27,14S5/3/3.3/3.3.7
SN 47.28,14S5/3/3.3/3.3.8
SN 47.29,14S5/3/3.3/3.3.9
SN 47.30,14S5/3/3.3/3.3.10
SN 47.31,14S5/3/3.4/3.4.1
SN 47.32,14S5/3/3.4/3.4.2
SN 47.33,14S5/3/3.4/3.4.3
SN 47.34,14S5/3/3.4/3.4.4
SN 47.35,14S5/3/3.4/3.4.5
SN 47.36,14S5/3/3.4/3.4.6
SN 47.37,14S5/3/3.4/3.4.7
SN 47.38,14S5/3/3.4/3.4.8
SN 47.39,14S5/3/3.4/3.4.9
SN 47.40,14S5/3/3.4/3.4.10
SN 47.41,14S5/3/3.5/3.5.1
SN 47.42,14S5/3/3.5/3.5.2
SN 47.43,14S5/3/3.5/3.5.3
SN 47.44,14S5/3/3.5/3.5.4
SN 47.45,14S5/3/3.5/3.5.5
SN 47.46,14S5/3/3.5/3.5.6
SN 47.47,14S5/3/3.5/3.5.7
SN 47.48,14S5/3/3.5/3.5.8
SN 47.49,14S5/3/3.5/3.5.9
SN 47.50,14S5/3/3.5/3.5.10
SN 47.51,14S5/3/3.6/3.6.1--12
SN 47.52,14S5/3/3.6/3.6.1--12
SN 47.53,14S5/3/3.6/3.6.1--12
SN 47.54,14S5/3/3.6/3.6.1--12
SN 47.55,14S5/3/3.6/3.6.1--12
SN 47.56,14S5/3/3.6/3.6.1--12
SN 47.57,14S5/3/3.6/3.6.1--12
SN 47.58,14S5/3/3.6/3.6.1--12
SN 47.59,14S5/3/3.6/3.6.1--12
SN 47.60,14S5/3/3.6/3.6.1--12
SN 47.61,14S5/3/3.6/3.6.1--12
SN 47.62,14S5/3/3.6/3.6.1--12
SN 47.63,14S5/3/3.7/3.7.1--10
SN 47.64,14S5/3/3.7/3.7.1--10
SN 47.65,14S5/3/3.7/3.7.1--10
SN 47.66,14S5/3/3.7/3.7.1--10
SN 47.67,14S5/3/3.7/3.7.1--10
SN 47.68,14S5/3/3.7/3.7.1--10
SN 47.69,14S5/3/3.7/3.7.1--10
SN 47.70,14S5/3/3.7/3.7.1--10
SN 47.71,14S5/3/3.7/3.7.1--10
SN 47.72,14S5/3/3.7/3.7.1--10
SN 47.73,14S5/3/3.8/3.8.1--12
SN 47.74,14S5/3/3.8/3.8.1--12
SN 47.75,14S5/3/3.8/3.8.1--12
SN 47.76,14S5/3/3.8/3.8.1--12
SN 47.77,14S5/3/3.8/3.8.1--12
SN 47.78,14S5/3/3.8/3.8.1--12
SN 47.79,14S5/3/3.8/3.8.1--12
SN 47.80,14S5/3/3.8/3.8.1--12
SN 47.81,14S5/3/3.8/3.8.1--12
SN 47.82,14S5/3/3.8/3.8.1--12
SN 47.83,14S5/3/3.8/3.8.1--12
SN 47.84,14S5/3/3.8/3.8.1--12
SN 47.85,14S5/3/3.9/3.9.1--11
SN 47.86,14S5/3/3.9/3.9.1--11
SN 47.87,14S5/3/3.9/3.9.1--11
SN 47.88,14S5/3/3.9/3.9.1--11
SN 47.89,14S5/3/3.9/3.9.1--11
SN 47.90,14S5/3/3.9/3.9.1--11
SN 47.91,14S5/3/3.9/3.9.1--11
SN 47.92,14S5/3/3.9/3.9.1--11
SN 47.93,14S5/3/3.9/3.9.1--11
SN 47.94,14S5/3/3.9/3.9.1--11
SN 47.95,14S5/3/3.10/3.10.1--10
SN 47.96,14S5/3/3.10/3.10.1--10
SN 47.97,14S5/3/3.10/3.10.1--10
SN 47.98,14S5/3/3.10/3.10.1--10
SN 47.99,14S5/3/3.10/3.10.1--10
SN 47.100,14S5/3/3.10/3.10.1--10
SN 47.101,14S5/3/3.10/3.10.1--10
SN 47.102,14S5/3/3.10/3.10.1--10
SN 47.103,14S5/3/3.10/3.10.1--10
SN 47.104,14S5/3/3.10/3.10.1--10
SN 48.1,14S5/4/4.1/4.1.1
SN 48.2,14S5/4/4.1/4.1.2
SN 48.3,14S5/4/4.1/4.1.3
SN 48.4,14S5/4/4.1/4.1.4
SN 48.5,14S5/4/4.1/4.1.5
SN 48.6,14S5/4/4.1/4.1.6
SN 48.7,14S5/4/4.1/4.1.7
SN 48.8,14S5/4/4.1/4.1.8
SN 48.9,14S5/4/4.1/4.1.9
SN 48.10,14S5/4/4.1/4.1.10
SN 48.11,14S5/4/4.2/4.2.1
SN 48.12,14S5/4/4.2/4.2.2
SN 48.13,14S5/4/4.2/4.2.3
SN 48.14,14S5/4/4.2/4.2.4
SN 48.15,14S5/4/4.2/4.2.5
SN 48.16,14S5/4/4.2/4.2.6
SN 48.17,14S5/4/4.2/4.2.7
SN 48.18,14S5/4/4.2/4.2.8
SN 48.19,14S5/4/4.2/4.2.9
SN 48.20,14S5/4/4.2/4.2.10
SN 48.21,14S5/4/4.3/4.3.1
SN 48.22,14S5/4/4.3/4.3.2
SN 48.23,14S5/4/4.3/4.3.3
SN 48.24,14S5/4/4.3/4.3.4
SN 48.25,14S5/4/4.3/4.3.5
SN 48.26,14S5/4/4.3/4.3.6
SN 48.27,14S5/4/4.3/4.3.7
SN 48.28,14S5/4/4.3/4.3.8
SN 48.29,14S5/4/4.3/4.3.9
SN 48.30,14S5/4/4.3/4.3.10
SN 48.31,14S5/4/4.4/4.4.1
SN 48.32,14S5/4/4.4/4.4.2
SN 48.33,14S5/4/4.4/4.4.3
SN 48.34,14S5/4/4.4/4.4.4
SN 48.35,14S5/4/4.4/4.4.5
SN 48.36,14S5/4/4.4/4.4.6
SN 48.37,14S5/4/4.4/4.4.7
SN 48.38,14S5/4/4.4/4.4.8
SN 48.39,14S5/4/4.4/4.4.9
SN 48.40,14S5/4/4.4/4.4.10
SN 48.41,14S5/4/4.5/4.5.1
SN 48.42,14S5/4/4.5/4.5.2
SN 48.43,14S5/4/4.5/4.5.3
SN 48.44,14S5/4/4.5/4.5.4
SN 48.45,14S5/4/4.5/4.5.5
SN 48.46,14S5/4/4.5/4.5.6
SN 48.47,14S5/4/4.5/4.5.7
SN 48.48,14S5/4/4.5/4.5.8
SN 48.49,14S5/4/4.5/4.5.9
SN 48.50,14S5/4/4.5/4.5.10
SN 48.51,14S5/4/4.6/4.6.1
SN 48.52,14S5/4/4.6/4.6.2
SN 48.53,14S5/4/4.6/4.6.3
SN 48.54,14S5/4/4.6/4.6.4
SN 48.55,14S5/4/4.6/4.6.5
SN 48.56,14S5/4/4.6/4.6.6
SN 48.57,14S5/4/4.6/4.6.7
SN 48.58,14S5/4/4.6/4.6.8
SN 48.59,14S5/4/4.6/4.6.9
SN 48.60,14S5/4/4.6/4.6.10
SN 48.61,14S5/4/4.7/4.7.1
SN 48.62,14S5/4/4.7/4.7.2
SN 48.63,14S5/4/4.7/4.7.2
SN 48.64,14S5/4/4.7/4.7.4
SN 48.65,14S5/4/4.7/4.7.5
SN 48.66,14S5/4/4.7/4.7.6
SN 48.67,14S5/4/4.7/4.7.7
SN 48.68,14S5/4/4.7/4.7.8
SN 48.69,14S5/4/4.7/4.7.9
SN 48.70,14S5/4/4.7/4.7.10
SN 48.71,14S5/4/4.8/4.8.1--12
SN 48.72,14S5/4/4.8/4.8.1--12
SN 48.73,14S5/4/4.8/4.8.1--12
SN 48.74,14S5/4/4.8/4.8.1--12
SN 48.75,14S5/4/4.8/4.8.1--12
SN 48.76,14S5/4/4.8/4.8.1--12
SN 48.77,14S5/4/4.8/4.8.1--12
SN 48.78,14S5/4/4.8/4.8.1--12
SN 48.79,14S5/4/4.8/4.8.1--12
SN 48.80,14S5/4/4.8/4.8.1--12
SN 48.81,14S5/4/4.8/4.8.1--12
SN 48.82,14S5/4/4.8/4.8.1--12
SN 48.83,14S5/4/4.9
SN 48.84,14S5/4/4.9
SN 48.85,14S5/4/4.9
SN 48.86,14S5/4/4.9
SN 48.87,14S5/4/4.9
SN 48.88,14S5/4/4.9
SN 48.89,14S5/4/4.9
SN 48.90,14S5/4/4.9
SN 48.91,14S5/4/4.9
SN 48.92,14S5/4/4.9
SN 48.93,14S5/4/4.10
SN 48.94,14S5/4/4.10
SN 48.95,14S5/4/4.10
SN 48.96,14S5/4/4.10
SN 48.97,14S5/4/4.10
SN 48.98,14S5/4/4.10
SN 48.99,14S5/4/4.10
SN 48.100,14S5/4/4.10
SN 48.101,14S5/4/4.10
SN 48.102,14S5/4/4.10
SN 48.103,14S5/4/4.10
SN 48.104,14S5/4/4.10
SN 48.105,14S5/4/4.11
SN 48.106,14S5/4/4.11
SN 48.107,14S5/4/4.11
SN 48.108,14S5/4/4.11
SN 48.109,14S5/4/4.11
SN 48.110,14S5/4/4.11
SN 48.111,14S5/4/4.11
SN 48.112,14S5/4/4.11
SN 48.113,14S5/4/4.11
SN 48.114,14S5/4/4.11
SN 48.115,14S5/4/4.12/4.12.1--10
SN 48.116,14S5/4/4.12/4.12.1--10
SN 48.117,14S5/4/4.12/4.12.1--10
SN 48.118,14S5/4/4.12/4.12.1--10
SN 48.119,14S5/4/4.12/4.12.1--10
SN 48.120,14S5/4/4.12/4.12.1--10
SN 48.121,14S5/4/4.12/4.12.1--10
SN 48.122,14S5/4/4.12/4.12.1--10
SN 48.123,14S5/4/4.12/4.12.1--10
SN 48.124,14S5/4/4.12/4.12.1--10
SN 48.125,14S5/4/4.13/4.13.1--12
SN 48.126,14S5/4/4.13/4.13.1--12
SN 48.127,14S5/4/4.13/4.13.1--12
SN 48.128,14S5/4/4.13/4.13.1--12
SN 48.129,14S5/4/4.13/4.13.1--12
SN 48.130,14S5/4/4.13/4.13.1--12
SN 48.131,14S5/4/4.13/4.13.1--12
SN 48.132,14S5/4/4.13/4.13.1--12
SN 48.133,14S5/4/4.13/4.13.1--12
SN 48.134,14S5/4/4.13/4.13.1--12
SN 48.135,14S5/4/4.13/4.13.1--12
SN 48.136,14S5/4/4.13/4.13.1--12
SN 48.137,14S5/4/4.14
SN 48.138,14S5/4/4.14
SN 48.139,14S5/4/4.14
SN 48.140,14S5/4/4.14
SN 48.141,14S5/4/4.14
SN 48.142,14S5/4/4.14
SN 48.143,14S5/4/4.14
SN 48.144,14S5/4/4.14
SN 48.145,14S5/4/4.14
SN 48.146,14S5/4/4.14
SN 48.147,14S5/4/4.15
SN 48.148,14S5/4/4.15
SN 48.149,14S5/4/4.15
SN 48.150,14S5/4/4.15
SN 48.151,14S5/4/4.15
SN 48.152,14S5/4/4.15
SN 48.153,14S5/4/4.15
SN 48.154,14S5/4/4.15
SN 48.155,14S5/4/4.15
SN 48.156,14S5/4/4.15
SN 48.157,14S5/4/4.15
SN 48.158,14S5/4/4.15
SN 48.159,14S5/4/4.16
SN 48.160,14S5/4/4.16
SN 48.161,14S5/4/4.16
SN 48.162,14S5/4/4.16
SN 48.163,14S5/4/4.16
SN 48.164,14S5/4/4.16
SN 48.165,14S5/4/4.16
SN 48.166,14S5/4/4.16
SN 48.167,14S5/4/4.16
SN 48.168,14S5/4/4.16
SN 48.169,14S5/4/4.17/4.17.1--10
SN 48.170,14S5/4/4.17/4.17.1--10
SN 48.171,14S5/4/4.17/4.17.1--10
SN 48.172,14S5/4/4.17/4.17.1--10
SN 48.173,14S5/4/4.17/4.17.1--10
SN 48.174,14S5/4/4.17/4.17.1--10
SN 48.175,14S5/4/4.17/4.17.1--10
SN 48.176,14S5/4/4.17/4.17.1--10
SN 48.177,14S5/4/4.17/4.17.1--10
SN 48.178,14S5/4/4.17/4.17.1--10
SN 49.1,14S5/5/5.1/5.1.1--12
SN 49.2,14S5/5/5.1/5.1.1--12
SN 49.3,14S5/5/5.1/5.1.1--12
SN 49.4,14S5/5/5.1/5.1.1--12
SN 49.5,14S5/5/5.1/5.1.1--12
SN 49.6,14S5/5/5.1/5.1.1--12
SN 49.7,14S5/5/5.1/5.1.1--12
SN 49.8,14S5/5/5.1/5.1.1--12
SN 49.9,14S5/5/5.1/5.1.1--12
SN 49.10,14S5/5/5.1/5.1.1--12
SN 49.11,14S5/5/5.1/5.1.1--12
SN 49.12,14S5/5/5.1/5.1.1--12
SN 49.13,14S5/5/5.2
SN 49.14,14S5/5/5.2
SN 49.15,14S5/5/5.2
SN 49.16,14S5/5/5.2
SN 49.17,14S5/5/5.2
SN 49.18,14S5/5/5.2
SN 49.19,14S5/5/5.2
SN 49.20,14S5/5/5.2
SN 49.21,14S5/5/5.2
SN 49.22,14S5/5/5.2
SN 49.23,14S5/5/5.3/5.3.1--12
SN 49.24,14S5/5/5.3/5.3.1--12
SN 49.25,14S5/5/5.3/5.3.1--12
SN 49.26,14S5/5/5.3/5.3.1--12
SN 49.27,14S5/5/5.3/5.3.1--12
SN 49.28,14S5/5/5.3/5.3.1--12
SN 49.29,14S5/5/5.3/5.3.1--12
SN 49.30,14S5/5/5.3/5.3.1--12
SN 49.31,14S5/5/5.3/5.3.1--12
SN 49.32,14S5/5/5.3/5.3.1--12
SN 49.33,14S5/5/5.3/5.3.1--12
SN 49.34,14S5/5/5.3/5.3.1--12
SN 49.35,14S5/5/5.4/5.4.1--11
SN 49.36,14S5/5/5.4/5.4.1--11
SN 49.37,14S5/5/5.4/5.4.1--11
SN 49.38,14S5/5/5.4/5.4.1--11
SN 49.39,14S5/5/5.4/5.4.1--11
SN 49.40,14S5/5/5.4/5.4.1--11
SN 49.41,14S5/5/5.4/5.4.1--11
SN 49.42,14S5/5/5.4/5.4.1--11
SN 49.43,14S5/5/5.4/5.4.1--11
SN 49.44,14S5/5/5.4/5.4.1--11
SN 49.45,14S5/5/5.5/5.5.1--10
SN 49.46,14S5/5/5.5/5.5.1--10
SN 49.47,14S5/5/5.5/5.5.1--10
SN 49.48,14S5/5/5.5/5.5.1--10
SN 49.49,14S5/5/5.5/5.5.1--10
SN 49.50,14S5/5/5.5/5.5.1--10
SN 49.51,14S5/5/5.5/5.5.1--10
SN 49.52,14S5/5/5.5/5.5.1--10
SN 49.53,14S5/5/5.5/5.5.1--10
SN 49.54,14S5/5/5.5/5.5.1--10
SN 50.1,14S5/6/6.1/6.1.1--12
SN 50.2,14S5/6/6.1/6.1.1--12
SN 50.3,14S5/6/6.1/6.1.1--12
SN 50.4,14S5/6/6.1/6.1.1--12
SN 50.5,14S5/6/6.1/6.1.1--12
SN 50.6,14S5/6/6.1/6.1.1--12
SN 50.7,14S5/6/6.1/6.1.1--12
SN 50.8,14S5/6/6.1/6.1.1--12
SN 50.9,14S5/6/6.1/6.1.1--12
SN 50.10,14S5/6/6.1/6.1.1--12
SN 50.11,14S5/6/6.1/6.1.1--12
SN 50.12,14S5/6/6.1/6.1.1--12
SN 50.13,14S5/6/6.2
SN 50.14,14S5/6/6.2
SN 50.15,14S5/6/6.2
SN 50.16,14S5/6/6.2
SN 50.17,14S5/6/6.2
SN 50.18,14S5/6/6.2
SN 50.19,14S5/6/6.2
SN 50.20,14S5/6/6.2
SN 50.21,14S5/6/6.2
SN 50.22,14S5/6/6.2
SN 50.23,14S5/6/6.3
SN 50.24,14S5/6/6.3
SN 50.25,14S5/6/6.3
SN 50.26,14S5/6/6.3
SN 50.27,14S5/6/6.3
SN 50.28,14S5/6/6.3
SN 50.29,14S5/6/6.3
SN 50.30,14S5/6/6.3
SN 50.31,14S5/6/6.3
SN 50.32,14S5/6/6.3
SN 50.33,14S5/6/6.3
SN 50.34,14S5/6/6.3
SN 50.35,14S5/6/6.4
SN 50.36,14S5/6/6.4
SN 50.37,14S5/6/6.4
SN 50.38,14S5/6/6.4
SN 50.39,14S5/6/6.4
SN 50.40,14S5/6/6.4
SN 50.41,14S5/6/6.4
SN 50.42,14S5/6/6.4
SN 50.43,14S5/6/6.4
SN 50.44,14S5/6/6.4
SN 50.45,14S5/6/6.5/6.5.1--10
SN 50.46,14S5/6/6.5/6.5.1--10
SN 50.47,14S5/6/6.5/6.5.1--10
SN 50.48,14S5/6/6.5/6.5.1--10
SN 50.49,14S5/6/6.5/6.5.1--10
SN 50.50,14S5/6/6.5/6.5.1--10
SN 50.51,14S5/6/6.5/6.5.1--10
SN 50.52,14S5/6/6.5/6.5.1--10
SN 50.53,14S5/6/6.5/6.5.1--10
SN 50.54,14S5/6/6.5/6.5.1--10
SN 50.55,14S5/6/6.6/6.6.1--12
SN 50.56,14S5/6/6.6/6.6.1--12
SN 50.57,14S5/6/6.6/6.6.1--12
SN 50.58,14S5/6/6.6/6.6.1--12
SN 50.59,14S5/6/6.6/6.6.1--12
SN 50.60,14S5/6/6.6/6.6.1--12
SN 50.61,14S5/6/6.6/6.6.1--12
SN 50.62,14S5/6/6.6/6.6.1--12
SN 50.63,14S5/6/6.6/6.6.1--12
SN 50.64,14S5/6/6.6/6.6.1--12
SN 50.65,14S5/6/6.6/6.6.1--12
SN 50.66,14S5/6/6.6/6.6.1--12
SN 50.67,14S5/6/6.7
SN 50.68,14S5/6/6.7
SN 50.69,14S5/6/6.7
SN 50.70,14S5/6/6.7
SN 50.71,14S5/6/6.7
SN 50.72,14S5/6/6.7
SN 50.73,14S5/6/6.7
SN 50.74,14S5/6/6.7
SN 50.75,14S5/6/6.7
SN 50.76,14S5/6/6.7
SN 50.77,14S5/6/6.8
SN 50.78,14S5/6/6.8
SN 50.79,14S5/6/6.8
SN 50.80,14S5/6/6.8
SN 50.81,14S5/6/6.8
SN 50.82,14S5/6/6.8
SN 50.83,14S5/6/6.8
SN 50.84,14S5/6/6.8
SN 50.85,14S5/6/6.8
SN 50.86,14S5/6/6.8
SN 50.87,14S5/6/6.8
SN 50.88,14S5/6/6.8
SN 50.89,14S5/6/6.9/6.9.1--11
SN 50.90,14S5/6/6.9/6.9.1--11
SN 50.91,14S5/6/6.9/6.9.1--11
SN 50.92,14S5/6/6.9/6.9.1--11
SN 50.93,14S5/6/6.9/6.9.1--11
SN 50.94,14S5/6/6.9/6.9.1--11
SN 50.95,14S5/6/6.9/6.9.1--11
SN 50.96,14S5/6/6.9/6.9.1--11
SN 50.97,14S5/6/6.9/6.9.1--11
SN 50.98,14S5/6/6.9/6.9.1--11
SN 50.99,14S5/6/6.10/6.10.1--10
SN 50.100,14S5/6/6.10/6.10.1--10
SN 50.101,14S5/6/6.10/6.10.1--10
SN 50.102,14S5/6/6.10/6.10.1--10
SN 50.103,14S5/6/6.10/6.10.1--10
SN 50.104,14S5/6/6.10/6.10.1--10
SN 50.105,14S5/6/6.10/6.10.1--10
SN 50.106,14S5/6/6.10/6.10.1--10
SN 50.107,14S5/6/6.10/6.10.1--10
SN 50.108,14S5/6/6.10/6.10.1--10
SN 51.1,14S5/7/7.1/7.1.1
SN 51.2,14S5/7/7.1/7.1.2
SN 51.3,14S5/7/7.1/7.1.3
SN 51.4,14S5/7/7.1/7.1.4
SN 51.5,14S5/7/7.1/7.1.5
SN 51.6,14S5/7/7.1/7.1.6
SN 51.7,14S5/7/7.1/7.1.7
SN 51.8,14S5/7/7.1/7.1.8
SN 51.9,14S5/7/7.1/7.1.9
SN 51.10,14S5/7/7.1/7.1.10
SN 51.11,14S5/7/7.2/7.2.1
SN 51.12,14S5/7/7.2/7.2.2
SN 51.13,14S5/7/7.2/7.2.3
SN 51.14,14S5/7/7.2/7.2.4
SN 51.15,14S5/7/7.2/7.2.5
SN 51.16,14S5/7/7.2/7.2.6
SN 51.17,14S5/7/7.2/7.2.7
SN 51.18,14S5/7/7.2/7.2.8
SN 51.19,14S5/7/7.2/7.2.9
SN 51.20,14S5/7/7.2/7.2.10
SN 51.21,14S5/7/7.3/7.3.1
SN 51.22,14S5/7/7.3/7.3.2
SN 51.23,14S5/7/7.3/7.3.3
SN 51.24,14S5/7/7.3/7.3.4
SN 51.25,14S5/7/7.3/7.3.5
SN 51.26,14S5/7/7.3/7.3.6
SN 51.27,14S5/7/7.3/7.3.7
SN 51.28,14S5/7/7.3/7.3.8
SN 51.29,14S5/7/7.3/7.3.9
SN 51.30,14S5/7/7.3/7.3.10
SN 51.31,14S5/7/7.3/7.3.11
SN 51.32,14S5/7/7.3/7.3.12
SN 51.33,14S5/7/7.4/7.4.1--12
SN 51.34,14S5/7/7.4/7.4.1--12
SN 51.35,14S5/7/7.4/7.4.1--12
SN 51.36,14S5/7/7.4/7.4.1--12
SN 51.37,14S5/7/7.4/7.4.1--12
SN 51.38,14S5/7/7.4/7.4.1--12
SN 51.39,14S5/7/7.4/7.4.1--12
SN 51.40,14S5/7/7.4/7.4.1--12
SN 51.41,14S5/7/7.4/7.4.1--12
SN 51.42,14S5/7/7.4/7.4.1--12
SN 51.43,14S5/7/7.4/7.4.1--12
SN 51.44,14S5/7/7.4/7.4.1--12
SN 51.45,14S5/7/7.5
SN 51.46,14S5/7/7.5
SN 51.47,14S5/7/7.5
SN 51.48,14S5/7/7.5
SN 51.49,14S5/7/7.5
SN 51.50,14S5/7/7.5
SN 51.51,14S5/7/7.5
SN 51.52,14S5/7/7.5
SN 51.53,14S5/7/7.5
SN 51.54,14S5/7/7.5
SN 51.55,14S5/7/7.6
SN 51.56,14S5/7/7.6
SN 51.57,14S5/7/7.6
SN 51.58,14S5/7/7.6
SN 51.59,14S5/7/7.6
SN 51.60,14S5/7/7.6
SN 51.61,14S5/7/7.6
SN 51.62,14S5/7/7.6
SN 51.63,14S5/7/7.6
SN 51.64,14S5/7/7.6
SN 51.65,14S5/7/7.6
SN 51.66,14S5/7/7.6
SN 51.67,14S5/7/7.7
SN 51.68,14S5/7/7.7
SN 51.69,14S5/7/7.7
SN 51.70,14S5/7/7.7
SN 51.71,14S5/7/7.7
SN 51.72,14S5/7/7.7
SN 51.73,14S5/7/7.7
SN 51.74,14S5/7/7.7
SN 51.75,14S5/7/7.7
SN 51.76,14S5/7/7.7
SN 51.77,14S5/7/7.8/7.8.1--10
SN 51.78,14S5/7/7.8/7.8.1--10
SN 51.79,14S5/7/7.8/7.8.1--10
SN 51.80,14S5/7/7.8/7.8.1--10
SN 51.81,14S5/7/7.8/7.8.1--10
SN 51.82,14S5/7/7.8/7.8.1--10
SN 51.83,14S5/7/7.8/7.8.1--10
SN 51.84,14S5/7/7.8/7.8.1--10
SN 51.85,14S5/7/7.8/7.8.1--10
SN 51.86,14S5/7/7.8/7.8.1--10
SN 52.1,14S5/8/8.1/8.1.1
SN 52.2,14S5/8/8.1/8.1.2
SN 52.3,14S5/8/8.1/8.1.3
SN 52.4,14S5/8/8.1/8.1.4
SN 52.5,14S5/8/8.1/8.1.5
SN 52.6,14S5/8/8.1/8.1.6
SN 52.7,14S5/8/8.1/8.1.7
SN 52.8,14S5/8/8.1/8.1.8
SN 52.9,14S5/8/8.1/8.1.9
SN 52.10,14S5/8/8.1/8.1.10
SN 52.11,14S5/8/8.2/8.2.1
SN 52.12,14S5/8/8.2/8.2.2
SN 52.13,14S5/8/8.2/8.2.3
SN 52.14,14S5/8/8.2/8.2.4
SN 52.15,14S5/8/8.2/8.2.5
SN 52.15−24,14S5/8/8.2/8.2.5
SN 52.16,14S5/8/8.2/8.2.6
SN 52.17,14S5/8/8.2/8.2.7
SN 52.18,14S5/8/8.2/8.2.8
SN 52.19,14S5/8/8.2/8.2.9
SN 52.20,14S5/8/8.2/8.2.10
SN 52.21,14S5/8/8.2/8.2.11
SN 52.22,14S5/8/8.2/8.2.12
SN 52.23,14S5/8/8.2/8.2.13
SN 52.24,14S5/8/8.2/8.2.14
SN 53.1,14S5/9/9.1/9.1.1--12
SN 53.2,14S5/9/9.1/9.1.1--12
SN 53.3,14S5/9/9.1/9.1.1--12
SN 53.4,14S5/9/9.1/9.1.1--12
SN 53.5,14S5/9/9.1/9.1.1--12
SN 53.6,14S5/9/9.1/9.1.1--12
SN 53.7,14S5/9/9.1/9.1.1--12
SN 53.8,14S5/9/9.1/9.1.1--12
SN 53.9,14S5/9/9.1/9.1.1--12
SN 53.10,14S5/9/9.1/9.1.1--12
SN 53.11,14S5/9/9.1/9.1.1--12
SN 53.12,14S5/9/9.1/9.1.1--12
SN 53.13,14S5/9/9.2
SN 53.14,14S5/9/9.2
SN 53.15,14S5/9/9.2
SN 53.16,14S5/9/9.2
SN 53.17,14S5/9/9.2
SN 53.18,14S5/9/9.2
SN 53.19,14S5/9/9.2
SN 53.20,14S5/9/9.2
SN 53.21,14S5/9/9.2
SN 53.22,14S5/9/9.2
SN 53.23,14S5/9/9.3
SN 53.24,14S5/9/9.3
SN 53.25,14S5/9/9.3
SN 53.26,14S5/9/9.3
SN 53.27,14S5/9/9.3
SN 53.28,14S5/9/9.3
SN 53.29,14S5/9/9.3
SN 53.30,14S5/9/9.3
SN 53.31,14S5/9/9.3
SN 53.32,14S5/9/9.3
SN 53.33,14S5/9/9.3
SN 53.34,14S5/9/9.3
SN 53.35,14S5/9/9.4
SN 53.36,14S5/9/9.4
SN 53.37,14S5/9/9.4
SN 53.38,14S5/9/9.4
SN 53.39,14S5/9/9.4
SN 53.40,14S5/9/9.4
SN 53.41,14S5/9/9.4
SN 53.42,14S5/9/9.4
SN 53.43,14S5/9/9.4
SN 53.44,14S5/9/9.4
SN 53.45,14S5/9/9.5/9.5.1--10
SN 53.46,14S5/9/9.5/9.5.1--10
SN 53.47,14S5/9/9.5/9.5.1--10
SN 53.48,14S5/9/9.5/9.5.1--10
SN 53.49,14S5/9/9.5/9.5.1--10
SN 53.50,14S5/9/9.5/9.5.1--10
SN 53.51,14S5/9/9.5/9.5.1--10
SN 53.52,14S5/9/9.5/9.5.1--10
SN 53.53,14S5/9/9.5/9.5.1--10
SN 53.54,14S5/9/9.5/9.5.1--10
SN 54.1,14S5/10/10.1/10.1.1
SN 54.2,14S5/10/10.1/10.1.2
SN 54.3,14S5/10/10.1/10.1.3
SN 54.4,14S5/10/10.1/10.1.4
SN 54.5,14S5/10/10.1/10.1.5
SN 54.6,14S5/10/10.1/10.1.6
SN 54.7,14S5/10/10.1/10.1.7
SN 54.8,14S5/10/10.1/10.1.8
SN 54.9,14S5/10/10.1/10.1.9
SN 54.10,14S5/10/10.1/10.1.10
SN 54.11,14S5/10/10.2/10.2.1
SN 54.12,14S5/10/10.2/10.2.2
SN 54.13,14S5/10/10.2/10.2.3
SN 54.13−16,14S5/10/10.2/10.2.3
SN 54.14,14S5/10/10.2/10.2.4
SN 54.15,14S5/10/10.2/10.2.5
SN 54.16,14S5/10/10.2/10.2.6
SN 54.17,14S5/10/10.2/10.2.7
SN 54.18,14S5/10/10.2/10.2.8
SN 54.19,14S5/10/10.2/10.2.9
SN 54.20,14S5/10/10.2/10.2.10
SN 55.1,14S5/11/11.1/11.1.1
SN 55.2,14S5/11/11.1/11.1.2
SN 55.3,14S5/11/11.1/11.1.3
SN 55.4,14S5/11/11.1/11.1.4
SN 55.5,14S5/11/11.1/11.1.5
SN 55.6,14S5/11/11.1/11.1.6
SN 55.7,14S5/11/11.1/11.1.7
SN 55.8,14S5/11/11.1/11.1.8
SN 55.9,14S5/11/11.1/11.1.9
SN 55.10,14S5/11/11.1/11.1.10
SN 55.11,14S5/11/11.2/11.2.1
SN 55.12,14S5/11/11.2/11.2.2
SN 55.13,14S5/11/11.2/11.2.3
SN 55.14,14S5/11/11.2/11.2.4
SN 55.15,14S5/11/11.2/11.2.5
SN 55.16,14S5/11/11.2/11.2.6
SN 55.17,14S5/11/11.2/11.2.7
SN 55.18,14S5/11/11.2/11.2.8
SN 55.19,14S5/11/11.2/11.2.9
SN 55.20,14S5/11/11.2/11.2.10
SN 55.21,14S5/11/11.3/11.3.1
